data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7917872,231,ETH6723,6723,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Debre Tabor town","Debre Tabor",11.85,38.0166,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Debre Tabor (South Gondar, Amhara). Protesters carried slogans urging the government to fulfill its responsibility to ensure the safety of citizens. [size=no report]",0,1619476352,ETH
7917875,231,ETH6724,6724,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Dejen town",Dejen,10.1667,38.1452,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Dejen (East Gojam, Amhara). Protesters carried slogans urging the government to fulfill its responsibility to ensure the safety of citizens. [size=no report]",0,1619476352,ETH
7917877,231,ETH6728,6728,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,Awi,"Guagusa Shikudad",Tilili,10.8551,37.0206,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Tilili (Awi, Amhara). Protesters carried slogans urging the government to fulfill its responsibility to ensure the safety of citizens. [size=no report]",0,1619476352,ETH
7917880,231,ETH6721,6721,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"North Gondar","Debark town",Debark,13.1561,37.8981,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Debark (North Gondar, Amhara). Protesters carried slogans urging the government to fulfill its responsibility to ensure the safety of citizens. [size=no report]",0,1619476352,ETH
7917884,231,ETH6718,6718,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,Awi,"Fagta Lakoma","Addis Kidame",11.082,36.8862,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Addis Kidame (Awi, Amhara). Protesters carried slogans urging the government to fulfill its responsibility to ensure the safety of citizens. [size=no report]",0,1619476352,ETH
7917889,231,ETH6722,6722,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"North Shewa","Debre Berhan town","Debre Birhan",9.6719,39.531,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Debre Birhan (North Welo, Amhara). Protesters carried slogans urging the government to fulfill its responsibility to ensure the safety of citizens. [size=no report]",0,1619476352,ETH
7917891,231,ETH6726,6726,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,Awi,"Injibara town",Injibara,11,36.9167,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Injibara (Awi, Amhara). Protesters carried slogans urging the government to fulfill its responsibility to ensure the safety of citizens. [size=no report]",0,1619476352,ETH
7917892,231,ETH6720,6720,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,Awi,"Dangila town",Dangila,11.2667,36.8333,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Dangila (Awi, Amhara). Protesters carried slogans urging the government to fulfill its responsibility to ensure the safety of citizens. [size=no report]",0,1619476352,ETH
7917893,231,ETH6725,6725,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"Central Gondar","Gonder town",Gonder,12.6,37.4667,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Gonder city (Central Gonder, Amhara). [size=no report]",0,1619476352,ETH
7917895,231,ETH6719,6719,"23 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Bure town",Bure,10.7,37.067,1,"Amhara Media Corporation",Subnational,"On 23 April 2021, demonstrations against violent attacks and displacement of Amharas were held in Bure (Awi, Amhara). Protesters carried slogans urging the government to fulfill its responsibility to ensure the safety of citizens. [size=no report]",0,1619476352,ETH
